feature,shap_importance
APR Severity of Illness Description,0.5415475970976734
Age Group,0.3062255865927868
APR Severity of Illness Code,0.09226474534236881
Patient Disposition,0.010054448804720091
Health Service Area,0.0
Payment Typology 2,0.0
APR MDC Description,0.0
APR Medical Surgical Description,0.0
Payment Typology 1,0.0
Payment Typology 3,0.0
APR DRG Description,0.0
Birth Weight,0.0
Abortion Edit Indicator,0.0
Emergency Department Indicator,0.0
Total Charges,0.0
Total Costs,0.0
APR MDC Code,0.0
APR DRG Code,0.0
Hospital County,0.0
CCS Procedure Description,0.0
CCS Procedure Code,0.0
CCS Diagnosis Description,0.0
CCS Diagnosis Code,0.0
Type of Admission,0.0
Ethnicity,0.0
Race,0.0
Gender,0.0
Zip Code - 3 digits,0.0
Facility Name,0.0
Facility Id,0.0
Operating Certificate Number,0.0
sparcs_los,0.0
