feature,mean_importance
Payment Typology 2,-0.0002759069840349238
Payment Typology 3,-0.0001735195899996267
Facility Id,-0.0001652487578356343
Ethnicity,-8.85973666817863e-05
Health Service Area,0.00010982978810190059
Abortion Edit Indicator,0.00016990805840411127
Race,0.00039067318970591457
APR MDC Code,0.00041326511343420247
Zip Code - 3 digits,0.0004688154476506501
Emergency Department Indicator,0.0005099265284174593
Hospital County,0.0005272400711043845
Operating Certificate Number,0.0008213921567066906
Gender,0.0009012707261895958
Facility Name,0.001154266690010153
APR Severity of Illness Description,0.0011835228573533695
sparcs_los,0.0014194789582758327
APR Medical Surgical Description,0.0019288041226222185
CCS Procedure Code,0.002329883654742115
Type of Admission,0.0036296018649030646
Birth Weight,0.004211219023405199
Total Costs,0.004862868404102438
CCS Diagnosis Description,0.005163011057683864
CCS Procedure Description,0.0051796015709194565
Payment Typology 1,0.005278154654927802
APR DRG Description,0.006674196541032495
Total Charges,0.008498196290901783
APR DRG Code,0.00903731149664475
APR MDC Description,0.012402495168556005
Patient Disposition,0.017577232971277
CCS Diagnosis Code,0.03478513745846705
Age Group,0.18602605904416966
APR Severity of Illness Code,0.7116787713702255
