feature,mean_importance
Facility Id,-0.00043549821252120147
Ethnicity,-0.0002978625892777753
Payment Typology 3,0.0001583994841045877
APR MDC Code,0.0003333313938234106
Payment Typology 2,0.00042795101886556887
Abortion Edit Indicator,0.00048184086679001756
Race,0.0007050088929559273
Facility Name,0.000988871356231069
Gender,0.0016368368951636513
Patient Disposition,0.001752610591477577
Health Service Area,0.0019334253801211565
Hospital County,0.0019708623799919557
Operating Certificate Number,0.0021688603307194352
Zip Code - 3 digits,0.002432191025467789
CCS Procedure Description,0.002972508596008594
Payment Typology 1,0.0029794536688601434
Type of Admission,0.003154245160109026
sparcs_los,0.003232707610439589
CCS Procedure Code,0.0033002572948483966
CCS Diagnosis Description,0.003893970724531126
APR DRG Description,0.004443008228941369
APR DRG Code,0.004830098591049814
Total Costs,0.0057722218072068674
Total Charges,0.006024445094065545
Emergency Department Indicator,0.006570481314951393
Birth Weight,0.008414803236930357
APR MDC Description,0.017468627818158878
APR Medical Surgical Description,0.021224976057851987
CCS Diagnosis Code,0.030254189518434303
APR Severity of Illness Description,0.10263823365291089
Age Group,0.27025848172724143
APR Severity of Illness Code,0.49919349597931967
