feature,shap_importance
APR Severity of Illness Code,0.3833292347336307
Age Group,0.30298478709983545
APR Severity of Illness Description,0.19653734070655574
CCS Diagnosis Code,0.06683662937366067
APR MDC Description,0.040275736150110326
Patient Disposition,0.011485691370340485
Payment Typology 1,0.005830174353738122
sparcs_los,0.003764448350182228
Type of Admission,0.0033146503465468404
APR DRG Description,0.002278184598582866
APR DRG Code,0.0020867958362834884
CCS Procedure Description,0.0014009026583352456
Birth Weight,0.00023991476963788224
CCS Procedure Code,0.00023482162456302496
Total Charges,0.00012526093796185885
Total Costs,0.00011120948228955067
Payment Typology 3,9.533747358426687e-05
Ethnicity,0.0
Operating Certificate Number,0.0
Emergency Department Indicator,0.0
Abortion Edit Indicator,0.0
Payment Typology 2,0.0
Facility Id,0.0
APR Medical Surgical Description,0.0
Race,0.0
Facility Name,0.0
Zip Code - 3 digits,0.0
APR MDC Code,0.0
Gender,0.0
Hospital County,0.0
CCS Diagnosis Description,0.0
Health Service Area,0.0
